epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1,0.1,,,
2.0,100.0,2.0,0.0,500.0,250.0,-200.0,-200.0,,0.1,0.1,,,
4.0,200.0,4.0,0.0,1000.0,250.0,-200.0,-200.0,,0.1,0.1,,,
7.0,100.0,6.0,0.0,1500.0,250.0,-200.0,-200.0,,0.1,0.1,,,
9.0,200.0,8.0,0.0,2000.0,250.0,-200.0,-200.0,,0.1,0.1,,,
12.0,100.0,10.0,0.0,2500.0,250.0,-200.0,-200.0,,0.1,0.1,,,
14.0,200.0,11.0,0.0,3000.0,272.72726,-200.0,-200.0,,0.1,0.1,,,
17.0,100.0,13.0,0.0,3500.0,269.23077,-200.0,-200.0,,0.1,0.1,,,
20.0,66.0,15.0,0.0,4000.0,266.66666,-200.0,-200.0,,0.1,0.1,,,
22.0,166.0,17.0,0.0,4500.0,264.70587,-200.0,-200.0,,0.1,0.1,,,
25.0,66.0,19.0,0.0,5000.0,263.1579,-200.0,-200.0,,0.1,0.1,,,
27.0,166.0,21.0,0.0,5500.0,261.90475,-200.0,-200.0,,0.1,0.1,,,
30.0,66.0,23.0,0.0,6000.0,260.86957,-200.0,-200.0,,0.1,0.1,,,
33.0,28.0,25.0,0.0,6500.0,260.0,-200.0,-200.0,,0.1,0.1,,,
35.0,128.0,27.0,0.0,7000.0,259.25925,-200.0,-200.0,,0.1,0.1,,,
38.0,28.0,29.0,0.0,7500.0,258.6207,-200.0,-200.0,,0.1,0.1,,,
40.0,128.0,31.0,0.0,8000.0,258.0645,-200.0,-200.0,,0.1,0.1,,,
43.0,28.0,34.0,0.0,8500.0,250.0,-200.0,-200.0,,0.1,0.1,,,
45.0,128.0,37.0,0.0,9000.0,243.24324,-200.0,-200.0,,0.1,0.1,,,
48.0,28.0,40.0,0.0,9500.0,237.5,-200.0,-200.0,,0.1,0.1,,,
50.0,128.0,42.0,0.0,10000.0,238.09525,-200.0,-200.0,,0.1,0.1,,,
53.0,28.0,44.0,0.0,10500.0,238.63637,-200.0,-200.0,,0.1,0.1,,,
55.0,128.0,46.0,0.0,11000.0,239.13043,-200.0,-200.0,,0.1,0.1,,,
58.0,28.0,48.0,0.0,11500.0,239.58333,-200.0,-200.0,,0.1,0.1,,,
60.0,128.0,50.0,0.0,12000.0,240.0,-200.0,-200.0,,0.1,0.1,,,
63.0,28.0,52.0,0.0,12500.0,240.38461,-200.0,-200.0,,0.1,0.1,,,
65.0,128.0,54.0,0.0,13000.0,240.74074,-200.0,-200.0,,0.1,0.1,,,
68.0,28.0,56.0,0.0,13500.0,241.07143,-200.0,-200.0,,0.1,0.1,,,
70.0,128.0,58.0,0.0,14000.0,241.3793,-200.0,-200.0,,0.1,0.1,,,
73.0,28.0,60.0,0.0,14500.0,241.66667,-200.0,-200.0,,0.1,0.1,,,
75.0,128.0,62.0,0.0,15000.0,241.93549,-200.0,-200.0,,0.1,0.1,,,
78.0,28.0,63.0,0.0,15500.0,246.03175,-200.0,-200.0,,0.1,0.1,,,
80.0,128.0,66.0,0.0,16000.0,242.42424,-200.0,-200.0,,0.1,0.1,,,
83.0,28.0,68.0,0.0,16500.0,242.64706,-200.0,-200.0,,0.1,0.1,,,
85.0,128.0,70.0,0.0,17000.0,242.85715,-200.0,-200.0,,0.1,0.1,,,
88.0,28.0,71.0,0.0,17500.0,246.47887,-200.0,-200.0,,0.1,0.1,,,
90.0,128.0,73.0,0.0,18000.0,246.57535,-200.0,-200.0,,0.1,0.1,,,
93.0,28.0,75.0,0.0,18500.0,246.66667,-200.0,-200.0,,0.1,0.1,,,
95.0,128.0,77.0,0.0,19000.0,246.75325,-200.0,-200.0,,0.1,0.1,,,
98.0,28.0,79.0,0.0,19500.0,246.83545,-200.0,-200.0,,0.1,0.1,,,
100.0,128.0,81.0,0.0,20000.0,246.91357,-200.0,-200.0,,0.1,0.1,,,
